Time,Wind1VelX,Wind1VelY,Wind1VelZ,PtfmSurge,PtfmSway,PtfmHeave,PtfmRoll,PtfmPitch,PtfmYaw,YawBrMzp,TTDspFA,TwrBsFxt,TwrBsFyt,TwrBsFzt,TwrBsMxt,TwrBsMyt,TwrBsMzt,RtArea,B1N3Clrnc,B2N3Clrnc,B3N3Clrnc,GenPwr,GenTq,Wave1Elev,HydroFxi,HydroFyi,HydroFzi,HydroMxi,HydroMyi,HydroMzi,B1Surge,B1Sway,B1Heave,B1Roll,B1Pitch,B1Yaw,B1TVxi,B1TVyi,B1TVzi,B1RVxi,B1RVyi,B1RVzi,B1TAxi,B1TAyi,B1TAzi,B1RAxi,B1RAyi,B1RAzi,B1WvsFxi,B1WvsFyi,B1WvsFzi,B1WvsMxi,B1WvsMyi,B1WvsMzi,B1HDSFxi,B1HDSFyi,B1HDSFzi,B1HDSMxi,B1HDSMyi,B1HDSMzi,B1RdtFxi,B1RdtFyi,B1RdtFzi,B1RdtMxi,B1RdtMyi,B1RdtMzi,FAIRTEN1,FAIRTEN2,FAIRTEN3,ANCHTEN1,ANCHTEN2,ANCHTEN3
0.000000E+00,8.000000E+00,0.000000E+00,0.000000E+00,5.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.900000E+00,0.000000E+00,-3.269101E-04,4.438451E-16,-8.272035E+02,-1.039746E+00,-5.992781E+03,2.187672E+01,-8.581136E+03,-2.125832E-04,1.244531E+04,6.344402E+01,5.299794E+01,5.317219E+01,1.682219E+03,1.949251E+01,-1.931004E+00,2.802271E+07,7.763999E+02,4.605628E+07,-2.525641E+04,-7.577738E+07,1.245339E+02,5.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.316126E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.327945E+00,-9.837196E-05,1.112452E-01,3.465198E-06,4.855838E-02,-6.434222E-08,7.964422E+05,-5.936816E-01,3.453743E+06,-5.023659E+00,-3.609481E+07,-7.902087E+00,0.000000E+00,0.000000E+00,1.398911E+08,0.000000E+00,1.262500E+07,0.000000E+00,-4.340652E+07,3.432673E+02,-1.635113E+06,-1.661786E+04,2.734781E+08,3.132011E+02,1.002114E+06,1.376089E+06,1.002114E+06,8.037244E+05,1.176738E+06,8.037244E+05
1.250000E-02,8.000000E+00,0.000000E+00,0.000000E+00,5.000572E+00,-3.182720E-08,8.698660E-06,7.044496E-08,1.900217E+00,2.266509E-10,-9.467153E+00,-9.310788E-04,-8.427523E+02,-3.991486E+00,-5.989005E+03,8.342561E+01,-9.273052E+03,-9.467171E+00,1.244540E+04,6.344354E+01,5.262683E+01,5.352979E+01,1.673614E+03,1.948878E+01,-1.926322E+00,2.788529E+07,2.980157E+03,4.611260E+07,-9.731501E+04,-7.423061E+07,1.050931E+04,5.000572E+00,-3.182720E-08,8.698660E-06,1.229496E-09,3.316504E-02,3.955804E-12,9.155662E-02,-7.415035E-06,1.392803E-03,2.884928E-07,6.049459E-04,-8.937349E-09,7.259265E+00,-3.757721E-04,1.085543E-01,1.330250E-05,4.794085E-02,-9.778934E-07,8.625844E+05,-5.949826E-01,3.448790E+06,-4.935076E+00,-3.735665E+07,-7.901746E+00,0.000000E+00,0.000000E+00,1.398911E+08,4.680409E-01,1.262644E+07,0.000000E+00,-4.301353E+07,1.305654E+03,-1.595562E+06,-6.395298E+04,2.720863E+08,4.761149E+03,9.861034E+05,1.410879E+06,9.860974E+05,8.036508E+05,1.176797E+06,8.036508E+05
2.500000E-02,8.000000E+00,0.000000E+00,0.000000E+00,5.002281E+00,-1.589687E-07,3.447354E-05,3.447153E-07,1.900863E+00,-3.253030E-09,-2.863238E+01,-3.703252E-03,-8.965849E+02,-8.600180E+00,-5.985334E+03,1.764722E+02,-1.119367E+04,-2.863177E+01,1.244566E+04,6.344227E+01,5.224548E+01,5.387765E+01,1.665086E+03,1.948155E+01,-1.921641E+00,2.772283E+07,6.431304E+03,4.610552E+07,-2.072140E+05,-7.129453E+07,2.876010E+04,5.002281E+00,-1.589687E-07,3.447354E-05,6.016418E-09,3.317632E-02,-5.677609E-11,1.814784E-01,-1.298636E-05,2.720603E-03,4.728052E-07,1.195645E-03,-2.848938E-08,7.192401E+00,-8.082155E-04,1.084920E-01,2.846876E-05,4.723847E-02,-2.544442E-06,9.287266E+05,-5.962838E-01,3.443838E+06,-4.846493E+00,-3.861848E+07,-7.901405E+00,0.000000E+00,0.000000E+00,1.398910E+08,2.291273E+00,1.263073E+07,0.000000E+00,-4.264149E+07,2.820466E+03,-1.594648E+06,-1.365233E+05,2.714720E+08,1.238864E+04,9.788827E+05,1.426423E+06,9.788748E+05,8.035785E+05,1.176856E+06,8.035785E+05
3.750000E-02,8.000000E+00,0.000000E+00,0.000000E+00,5.005109E+00,-3.901724E-07,7.700456E-05,8.192636E-07,1.901930E+00,-2.169512E-08,-5.269849E+01,-8.276533E-03,-9.824305E+02,-1.336334E+01,-5.980869E+03,2.652148E+02,-1.418653E+04,-5.269392E+01,1.244606E+04,6.344021E+01,5.185392E+01,5.421599E+01,1.656866E+03,1.947116E+01,-1.916960E+00,2.759466E+07,1.000684E+04,4.609680E+07,-3.141414E+05,-6.715419E+07,5.067341E+04,5.005109E+00,-3.901724E-07,7.700456E-05,1.429885E-08,3.319493E-02,-3.786513E-10,2.709848E-01,-2.389923E-05,4.089356E-03,8.390613E-07,1.781729E-03,-6.977122E-08,7.121528E+00,-1.245347E-03,1.085419E-01,4.352097E-05,4.637802E-02,-4.390405E-06,9.948689E+05,-5.975849E-01,3.438885E+06,-4.757910E+00,-3.988032E+07,-7.901063E+00,0.000000E+00,0.000000E+00,1.398908E+08,5.448608E+00,1.263782E+07,0.000000E+00,-4.226076E+07,4.375624E+03,-1.595390E+06,-2.078713E+05,2.716779E+08,2.137711E+04,9.675918E+05,1.450922E+06,9.675756E+05,8.035070E+05,1.176916E+06,8.035070E+05
5.000000E-02,8.000000E+00,0.000000E+00,0.000000E+00,5.009051E+00,-7.913329E-07,1.365900E-04,1.623219E-06,1.903412E+00,-6.707528E-08,-7.754362E+01,-1.461892E-02,-1.092737E+03,-1.665126E+01,-5.976056E+03,3.105881E+02,-1.804648E+04,-7.753506E+01,1.244661E+04,6.343729E+01,5.145197E+01,5.454498E+01,1.649134E+03,1.945800E+01,-1.912278E+00,2.748620E+07,1.250190E+04,4.608702E+07,-3.749031E+05,-6.213339E+07,7.199680E+04,5.009051E+00,-7.913329E-07,1.365900E-04,2.833052E-08,3.322080E-02,-1.170685E-09,3.595539E-01,-3.888754E-05,5.446043E-03,1.337829E-06,2.355854E-03,-1.330431E-07,7.048719E+00,-1.528906E-03,1.086560E-01,5.268122E-05,4.541430E-02,-5.997545E-06,1.061011E+06,-5.988860E-01,3.433933E+06,-4.669326E+00,-4.114216E+07,-7.900722E+00,0.000000E+00,0.000000E+00,1.398906E+08,1.080073E+01,1.264767E+07,0.000000E+00,-4.188010E+07,5.436236E+03,-1.597079E+06,-2.497973E+05,2.724854E+08,2.920389E+04,9.564127E+05,1.475180E+06,9.563872E+05,8.034359E+05,1.176976E+06,8.034359E+05
6.250000E-02,8.000000E+00,0.000000E+00,0.000000E+00,5.014094E+00,-1.393634E-06,2.131495E-04,2.807346E-06,1.905301E+00,-1.511784E-07,-1.002960E+02,-2.268249E-02,-1.217808E+03,-1.689654E+01,-5.971496E+03,2.754414E+02,-2.251377E+04,-1.002851E+02,1.244727E+04,6.343348E+01,5.103975E+01,5.486491E+01,1.642043E+03,1.944249E+01,-1.907597E+00,2.739068E+07,1.275043E+04,4.607702E+07,-3.473435E+05,-5.651648E+07,8.807970E+04,5.014094E+00,-1.393634E-06,2.131495E-04,4.899744E-08,3.325378E-02,-2.638561E-09,4.472163E-01,-5.604790E-05,6.803942E-03,1.901393E-06,2.917781E-03,-2.127771E-07,6.974868E+00,-1.506317E-03,1.087945E-01,5.034915E-05,4.438314E-02,-7.252983E-06,1.127153E+06,-6.001871E-01,3.428980E+06,-4.580743E+00,-4.240400E+07,-7.900381E+00,0.000000E+00,0.000000E+00,1.398903E+08,1.868759E+01,1.266022E+07,0.000000E+00,-4.150221E+07,5.489270E+03,-1.599131E+06,-2.348976E+05,2.737119E+08,3.532023E+04,9.453192E+05,1.499308E+06,9.452836E+05,8.033652E+05,1.177035E+06,8.033652E+05
7.500000E-02,8.000000E+00,0.000000E+00,0.000000E+00,5.020228E+00,-2.198950E-06,3.066996E-04,4.364350E-06,1.907588E+00,-2.852251E-07,-1.203070E+02,-3.241614E-02,-1.347158E+03,-1.292351E+01,-5.967696E+03,1.324334E+02,-2.730664E+04,-1.202991E+02,1.244803E+04,6.342874E+01,5.061728E+01,5.517607E+01,1.635677E+03,1.942507E+01,-1.902916E+00,2.730035E+07,9.875539E+03,4.606770E+07,-2.005423E+05,-5.061266E+07,9.865255E+04,5.020228E+00,-2.198950E-06,3.066996E-04,7.617227E-08,3.329369E-02,-4.978117E-09,5.339550E-01,-7.074029E-05,8.163674E-03,2.357285E-06,3.466638E-03,-3.061636E-07,6.901064E+00,-1.064790E-03,1.089280E-01,3.239502E-05,4.332479E-02,-7.739096E-06,1.193296E+06,-6.014882E-01,3.424028E+06,-4.492160E+00,-4.366584E+07,-7.900039E+00,0.000000E+00,0.000000E+00,1.398900E+08,2.906322E+01,1.267542E+07,0.000000E+00,-4.113068E+07,4.154607E+03,-1.601113E+06,-1.429884E+05,2.751596E+08,3.769344E+04,9.343535E+05,1.523222E+06,9.343100E+05,8.032954E+05,1.177095E+06,8.032954E+05
8.750000E-02,8.000000E+00,0.000000E+00,0.000000E+00,5.027440E+00,-3.141623E-06,4.172566E-04,6.142766E-06,1.910263E+00,-4.792234E-07,-1.384331E+02,-4.376567E-02,-1.470339E+03,-4.225398E+00,-5.965011E+03,-1.290569E+02,-3.214453E+04,-1.384395E+02,1.244886E+04,6.342305E+01,5.018467E+01,5.547871E+01,1.630088E+03,1.940620E+01,-1.898234E+00,2.720746E+07,3.503218E+03,4.605959E+07,7.809528E+04,-4.472877E+07,1.031444E+05,5.027440E+00,-3.141623E-06,4.172566E-04,1.072115E-07,3.334038E-02,-8.364026E-09,6.197772E-01,-7.810698E-05,9.525001E-03,2.528643E-06,4.002310E-03,-4.005857E-07,6.828325E+00,-1.561678E-04,1.090096E-01,-2.831536E-06,4.227879E-02,-7.592948E-06,1.259438E+06,-6.027893E-01,3.419075E+06,-4.403576E+00,-4.492768E+07,-7.899698E+00,0.000000E+00,0.000000E+00,1.398896E+08,4.092347E+01,1.269319E+07,0.000000E+00,-4.076872E+07,1.260272E+03,-1.602339E+06,3.373364E+04,2.766298E+08,3.699143E+04,9.235297E+05,1.546911E+06,9.234833E+05,8.032275E+05,1.177154E+06,8.032275E+05
1.000000E-01,8.000000E+00,0.000000E+00,0.000000E+00,5.035718E+00,-4.095724E-06,5.448345E-04,7.866674E-06,1.913317E+00,-7.416300E-07,-1.565340E+02,-5.667594E-02,-1.577958E+03,8.962652E+00,-5.963655E+03,-5.012002E+02,-3.677370E+04,-1.565671E+02,1.244974E+04,6.341637E+01,4.974201E+01,5.577309E+01,1.623622E+03,1.936643E+01,-1.893553E+00,2.710495E+07,-6.207322E+03,4.605317E+07,4.803456E+05,-3.914213E+07,1.041264E+05,5.035718E+00,-4.095724E-06,5.448345E-04,1.372994E-07,3.339369E-02,-1.294388E-08,7.047001E-01,-7.232976E-05,1.088700E-02,2.201586E-06,4.525102E-03,-4.918726E-07,6.757602E+00,1.190427E-03,1.090286E-01,-5.432892E-05,4.128085E-02,-6.756020E-06,1.325580E+06,-6.040904E-01,3.414122E+06,-4.314993E+00,-4.618951E+07,-7.899357E+00,0.000000E+00,0.000000E+00,1.398891E+08,5.243685E+01,1.271349E+07,0.000000E+00,-4.041940E+07,-3.090208E+03,-1.602647E+06,2.905233E+05,2.779458E+08,3.292950E+04,9.128549E+05,1.570376E+06,9.128143E+05,8.031627E+05,1.177213E+06,8.031627E+05
1.125000E-01,8.000000E+00,0.000000E+00,0.000000E+00,5.045053E+00,-4.864717E-06,6.894377E-04,9.109596E-06,1.916742E+00,-1.080689E-06,-1.770294E+02,-7.109294E-02,-1.662544E+03,2.561905E+01,-5.963761E+03,-9.566671E+02,-4.099118E+04,-1.770999E+02,1.245064E+04,6.340869E+01,4.928951E+01,5.605937E+01,1.617601E+03,1.932187E+01,-1.888872E+00,2.698727E+07,-1.850391E+04,4.604875E+07,9.761216E+05,-3.407403E+07,1.028468E+05,5.045053E+00,-4.864717E-06,6.894377E-04,1.589925E-07,3.345345E-02,-1.886158E-08,7.887529E-01,-4.867315E-05,1.224901E-02,1.199255E-06,5.035753E-03,-5.702235E-07,6.689606E+00,2.871435E-03,1.089415E-01,-1.182763E-04,4.035916E-02,-5.854514E-06,1.391722E+06,-6.053916E-01,3.409170E+06,-4.226410E+00,-4.745135E+07,-7.899015E+00,0.000000E+00,0.000000E+00,1.398885E+08,6.077145E+01,1.273624E+07,0.000000E+00,-4.008488E+07,-8.550533E+03,-1.601400E+06,6.086382E+05,2.789643E+08,2.855657E+04,9.023329E+05,1.593628E+06,9.023095E+05,8.031015E+05,1.177273E+06,8.031015E+05
