
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 26-Jun-2025 at 17:39:04.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        FAIRTEN4        FAIRTEN5        FAIRTEN6        ANCHTEN1        ANCHTEN2        ANCHTEN3        ANCHTEN4        ANCHTEN5        ANCHTEN6            P1FX            P1FY            P1FZ            P2FX            P2FY            P2FZ            P3FX            P3FY            P3FZ            P4FX            P4FY            P4FZ            P5FX            P5FY            P5FZ            P6FX            P6FY            P6FZ            P7FX            P7FY            P7FZ            P7PX            P7PY            P7PZ            P8FX            P8FY            P8FZ            P8PX            P8PY            P8PZ            P9FX            P9FY            P9FZ            P9PX            P9PY            P9PZ           P10FX           P10FY           P10FZ           P10PX           P10PY           P10PZ           P11FX           P11FY           P11FZ           P11PX           P11PY           P11PZ           P12FX           P12FY           P12FZ           P12PX           P12PY           P12PZ          L1N1PZ          L1N2PZ          L1N3PZ          L1N4PZ          L1N5PZ          L1N6PZ          L1N7PZ          L1N8PZ          L1N9PZ         L1N10PZ         L1N11PZ         L1N12PZ         L1N13PZ         L1N14PZ         L1N15PZ         L1N16PZ         L1N17PZ         L1N18PZ         L1N19PZ         L1N20PZ         L1N21PZ         L1N22PZ         L1N23PZ         L1N24PZ         L1N25PZ         L1N26PZ         L1N27PZ         L1N28PZ         L1N29PZ         L1N30PZ          L2N1PZ          L2N2PZ          L2N3PZ          L2N4PZ          L2N5PZ          L2N6PZ          L2N7PZ          L2N8PZ          L2N9PZ         L2N10PZ         L2N11PZ         L2N12PZ         L2N13PZ         L2N14PZ         L2N15PZ         L2N16PZ         L2N17PZ         L2N18PZ         L2N19PZ         L2N20PZ         L2N21PZ         L2N22PZ         L2N23PZ         L2N24PZ         L2N25PZ         L2N26PZ         L2N27PZ         L2N28PZ         L2N29PZ         L2N30PZ
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)
    0.0000   6.0768238E+05   5.3144500E+05   6.0768238E+05   2.1375523E+05   2.2846197E+05   2.1375523E+05   3.9030212E+05   3.0456419E+05   3.9030212E+05   1.4653254E+04   1.7491779E+04   1.4653254E+04   3.6238534E+05   1.4417288E+05  -1.5060047E+04   3.0423044E+05   0.0000000E+00  -1.4254551E+04   3.6238534E+05  -1.4417288E+05  -1.5060047E+04   1.7667349E+02  -7.4861649E+01  -1.4651998E+04   1.0608564E+04   0.0000000E+00  -1.3907578E+04   1.7667349E+02   7.4861649E+01  -1.4651998E+04  -3.6728022E+05  -1.1844852E+05  -4.6941778E+05  -1.4000000E+01   0.0000000E+00  -1.0000000E+01  -3.2165119E+05   0.0000000E+00  -4.2305356E+05  -1.4000000E+01   0.0000000E+00  -1.0000000E+01  -3.6728022E+05   1.1844852E+05  -4.6941778E+05  -1.4000000E+01   0.0000000E+00  -1.0000000E+01  -3.5828453E+04  -6.5071099E+03  -2.1063067E+05   5.4000000E+01   0.0000000E+00  -1.0000000E+01  -4.0557262E+04   0.0000000E+00  -2.2483322E+05   5.4000000E+01   0.0000000E+00  -1.0000000E+01  -3.5828453E+04   6.5071099E+03  -2.1063067E+05   5.4000000E+01   0.0000000E+00  -1.0000000E+01  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003502E+01  -4.9846302E+01  -4.9264881E+01  -4.8281872E+01  -4.6933205E+01  -4.5236679E+01  -4.3208347E+01  -4.0878101E+01  -3.8270863E+01  -3.5407871E+01  -3.2312050E+01  -2.9006317E+01  -2.5504179E+01  -2.1835474E+01  -1.8015163E+01  -1.4066796E+01  -1.0000000E+01  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005630E+01  -5.0004162E+01  -4.9892910E+01  -4.9297829E+01  -4.8281075E+01  -4.6904308E+01  -4.5185379E+01  -4.3125038E+01  -4.0757431E+01  -3.8118465E+01  -3.5224712E+01  -3.2107170E+01  -2.8801048E+01  -2.5305967E+01  -2.1656347E+01  -1.7871780E+01  -1.3983363E+01  -1.0000000E+01
    0.0030   6.0172425E+05   5.2308384E+05   6.0172325E+05   2.2045878E+05   2.3537738E+05   2.2045891E+05   3.9091166E+05   3.0268550E+05   3.9091166E+05   1.4653228E+04   1.7497588E+04   1.4653228E+04   3.6295681E+05   1.4438639E+05  -1.5060680E+04   3.0234975E+05   0.0000000E+00  -1.4252492E+04   3.6295681E+05  -1.4438639E+05  -1.5060680E+04   1.7465517E+02  -7.4006424E+01  -1.4652000E+04   1.0618152E+04   0.0000000E+00  -1.3907567E+04   1.7465517E+02   7.4006424E+01  -1.4652000E+04  -3.6361675E+05  -1.1728750E+05  -4.6486403E+05  -1.3999999E+01   8.8448832E-10  -1.0000004E+01  -3.1650134E+05  -9.0706184E-05  -4.1646559E+05  -1.3999999E+01   8.8448832E-10  -1.0000004E+01  -3.6361612E+05   1.1728730E+05  -4.6486325E+05  -1.3999999E+01   8.8448832E-10  -1.0000004E+01  -3.7011367E+04  -6.7228481E+03  -2.1722577E+05   5.4000000E+01  -7.0004269E-10  -9.9999981E+00  -4.1840145E+04   3.0839987E-05  -2.3162881E+05   5.4000000E+01  -7.0004269E-10  -9.9999981E+00  -3.7011387E+04   6.7228521E+03  -2.1722589E+05   5.4000000E+01  -7.0004269E-10  -9.9999981E+00  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003502E+01  -4.9846279E+01  -4.9264809E+01  -4.8281860E+01  -4.6933289E+01  -4.5236801E+01  -4.3208546E+01  -4.0878414E+01  -3.8271236E+01  -3.5408184E+01  -3.2312290E+01  -2.9006416E+01  -2.5504166E+01  -2.1835358E+01  -1.8015024E+01  -1.4066704E+01  -1.0000004E+01  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005630E+01  -5.0004166E+01  -4.9892689E+01  -4.9297375E+01  -4.8280712E+01  -4.6904041E+01  -4.5185123E+01  -4.3125298E+01  -4.0757847E+01  -3.8119011E+01  -3.5225239E+01  -3.2107506E+01  -2.8800961E+01  -2.5305763E+01  -2.1656065E+01  -1.7871561E+01  -1.3983223E+01  -1.0000004E+01
    0.0060   6.0105081E+05   5.2068062E+05   6.0105025E+05   2.2070603E+05   2.3567458E+05   2.2070608E+05   3.9146775E+05   3.0100312E+05   3.9146775E+05   1.4653202E+04   1.7503816E+04   1.4653202E+04   3.6347869E+05   1.4458014E+05  -1.5061258E+04   3.0066559E+05   0.0000000E+00  -1.4250649E+04   3.6347869E+05  -1.4458014E+05  -1.5061258E+04   1.7264240E+02  -7.3153557E+01  -1.4652002E+04   1.0628430E+04   0.0000000E+00  -1.3907556E+04   1.7264240E+02   7.3153557E+01  -1.4652002E+04  -3.6320856E+05  -1.1717614E+05  -4.6433969E+05  -1.3999995E+01   2.8280613E-09  -1.0000015E+01  -3.1503419E+05  -2.8765117E-04  -4.1456216E+05  -1.3999995E+01   2.8280613E-09  -1.0000015E+01  -3.6320825E+05   1.1717604E+05  -4.6433928E+05  -1.3999995E+01   2.8280613E-09  -1.0000015E+01  -3.7033727E+04  -6.7277764E+03  -2.1747275E+05   5.4000004E+01  -2.1234430E-09  -9.9999914E+00  -4.1873230E+04   9.3516363E-05  -2.3192484E+05   5.4000004E+01  -2.1234430E-09  -9.9999914E+00  -3.7033734E+04   6.7277778E+03  -2.1747278E+05   5.4000004E+01  -2.1234430E-09  -9.9999914E+00  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003502E+01  -4.9846256E+01  -4.9264732E+01  -4.8281853E+01  -4.6933376E+01  -4.5236919E+01  -4.3208744E+01  -4.0878731E+01  -3.8271610E+01  -3.5408501E+01  -3.2312527E+01  -2.9006512E+01  -2.5504150E+01  -2.1835239E+01  -1.8014889E+01  -1.4066615E+01  -1.0000015E+01  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005634E+01  -5.0004169E+01  -4.9892467E+01  -4.9296921E+01  -4.8280357E+01  -4.6903778E+01  -4.5184872E+01  -4.3125561E+01  -4.0758266E+01  -3.8119556E+01  -3.5225769E+01  -3.2107845E+01  -2.8800873E+01  -2.5305561E+01  -2.1655785E+01  -1.7871351E+01  -1.3983090E+01  -1.0000015E+01
    0.0090   5.9850469E+05   5.1657053E+05   5.9850369E+05   2.2412706E+05   2.3974216E+05   2.2412714E+05   3.9196616E+05   2.9952853E+05   3.9196616E+05   1.4653177E+04   1.7510342E+04   1.4653177E+04   3.6394684E+05   1.4475253E+05  -1.5061774E+04   2.9918944E+05   0.0000000E+00  -1.4249037E+04   3.6394684E+05  -1.4475253E+05  -1.5061774E+04   1.7063513E+02  -7.2303017E+01  -1.4652005E+04   1.0639188E+04   0.0000000E+00  -1.3907543E+04   1.7063513E+02   7.2303017E+01  -1.4652005E+04  -3.6164759E+05  -1.1669264E+05  -4.6238694E+05  -1.3999990E+01   6.0964509E-09  -1.0000035E+01  -3.1251159E+05  -6.1582291E-04  -4.1131691E+05  -1.3999990E+01   6.0964509E-09  -1.0000035E+01  -3.6164700E+05   1.1669244E+05  -4.6238616E+05  -1.3999990E+01   6.0964509E-09  -1.0000035E+01  -3.7625582E+04  -6.8361421E+03  -2.2084050E+05   5.4000011E+01  -4.0139048E-09  -9.9999819E+00  -4.2617195E+04   1.7999872E-04  -2.3592389E+05   5.4000011E+01  -4.0139048E-09  -9.9999819E+00  -3.7625594E+04   6.8361450E+03  -2.2084056E+05   5.4000011E+01  -4.0139048E-09  -9.9999819E+00  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003502E+01  -4.9846226E+01  -4.9264656E+01  -4.8281845E+01  -4.6933464E+01  -4.5237041E+01  -4.3208946E+01  -4.0879044E+01  -3.8271984E+01  -3.5408813E+01  -3.2312763E+01  -2.9006607E+01  -2.5504137E+01  -2.1835125E+01  -1.8014755E+01  -1.4066529E+01  -1.0000035E+01  -5.0005581E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005634E+01  -5.0004173E+01  -4.9892239E+01  -4.9296474E+01  -4.8280014E+01  -4.6903526E+01  -4.5184620E+01  -4.3125828E+01  -4.0758690E+01  -3.8120102E+01  -3.5226299E+01  -3.2108189E+01  -2.8800785E+01  -2.5305363E+01  -2.1655508E+01  -1.7871147E+01  -1.3982965E+01  -1.0000035E+01
    0.0120   5.9534206E+05   5.1190906E+05   5.9534138E+05   2.2688467E+05   2.4370223E+05   2.2688467E+05   3.9240131E+05   2.9827153E+05   3.9240131E+05   1.4653151E+04   1.7517111E+04   1.4653151E+04   3.6435625E+05   1.4490152E+05  -1.5062225E+04   2.9793106E+05   0.0000000E+00  -1.4247664E+04   3.6435625E+05  -1.4490152E+05  -1.5062225E+04   1.6863336E+02  -7.1454811E+01  -1.4652007E+04   1.0650341E+04   0.0000000E+00  -1.3907530E+04   1.6863336E+02   7.1454811E+01  -1.4652007E+04  -3.5970747E+05  -1.1608647E+05  -4.5996372E+05  -1.3999982E+01   9.1717860E-09  -1.0000062E+01  -3.0964781E+05  -9.1522851E-04  -4.0763847E+05  -1.3999982E+01   9.1717860E-09  -1.0000062E+01  -3.5970706E+05   1.1608633E+05  -4.5996322E+05  -1.3999982E+01   9.1717860E-09  -1.0000062E+01  -3.8097809E+04  -6.9227627E+03  -2.2355600E+05   5.4000019E+01  -5.1672533E-09  -9.9999685E+00  -4.3340168E+04   2.3506506E-04  -2.3981745E+05   5.4000019E+01  -5.1672533E-09  -9.9999685E+00  -3.8097809E+04   6.9227632E+03  -2.2355600E+05   5.4000019E+01  -5.1672533E-09  -9.9999685E+00  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003502E+01  -4.9846191E+01  -4.9264576E+01  -4.8281837E+01  -4.6933556E+01  -4.5237160E+01  -4.3209145E+01  -4.0879360E+01  -3.8272354E+01  -3.5409126E+01  -3.2313000E+01  -2.9006702E+01  -2.5504128E+01  -2.1835011E+01  -1.8014627E+01  -1.4066446E+01  -1.0000062E+01  -5.0005581E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005634E+01  -5.0004181E+01  -4.9892010E+01  -4.9296028E+01  -4.8279675E+01  -4.6903278E+01  -4.5184376E+01  -4.3126095E+01  -4.0759117E+01  -3.8120651E+01  -3.5226833E+01  -3.2108540E+01  -2.8800697E+01  -2.5305166E+01  -2.1655237E+01  -1.7870953E+01  -1.3982849E+01  -1.0000062E+01
    0.0150   5.9242200E+05   5.0771912E+05   5.9242188E+05   2.2965288E+05   2.4761797E+05   2.2965278E+05   3.9276638E+05   2.9723978E+05   3.9276638E+05   1.4653127E+04   1.7524094E+04   1.4653127E+04   3.6470044E+05   1.4502459E+05  -1.5062602E+04   2.9689816E+05   0.0000000E+00  -1.4246540E+04   3.6470044E+05  -1.4502459E+05  -1.5062602E+04   1.6663710E+02  -7.0608940E+01  -1.4652010E+04   1.0661840E+04   0.0000000E+00  -1.3907518E+04   1.6663710E+02   7.0608940E+01  -1.4652010E+04  -3.5791725E+05  -1.1552833E+05  -4.5772516E+05  -1.3999971E+01   1.1383114E-08  -1.0000097E+01  -3.0707519E+05  -1.1202479E-03  -4.0433097E+05  -1.3999971E+01   1.1383114E-08  -1.0000097E+01  -3.5791712E+05   1.1552829E+05  -4.5772503E+05  -1.3999971E+01   1.1383114E-08  -1.0000097E+01  -3.8571438E+04  -7.0096226E+03  -2.2628202E+05   5.4000031E+01  -5.0288023E-09  -9.9999514E+00  -4.4054098E+04   2.3114952E-04  -2.4366758E+05   5.4000031E+01  -5.0288023E-09  -9.9999514E+00  -3.8571422E+04   7.0096196E+03  -2.2628192E+05   5.4000031E+01  -5.0288023E-09  -9.9999514E+00  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003498E+01  -4.9846153E+01  -4.9264496E+01  -4.8281834E+01  -4.6933643E+01  -4.5237278E+01  -4.3209347E+01  -4.0879677E+01  -3.8272728E+01  -3.5409443E+01  -3.2313240E+01  -2.9006796E+01  -2.5504118E+01  -2.1834898E+01  -1.8014503E+01  -1.4066367E+01  -1.0000097E+01  -5.0005581E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005634E+01  -5.0004185E+01  -4.9891773E+01  -4.9295586E+01  -4.8279350E+01  -4.6903042E+01  -4.5184132E+01  -4.3126369E+01  -4.0759548E+01  -3.8121204E+01  -3.5227371E+01  -3.2108894E+01  -2.8800613E+01  -2.5304977E+01  -2.1654970E+01  -1.7870766E+01  -1.3982739E+01  -1.0000097E+01
    0.0180   5.8947875E+05   5.0372625E+05   5.8947950E+05   2.3172084E+05   2.5054825E+05   2.3172059E+05   3.9305447E+05   2.9643803E+05   3.9305447E+05   1.4653103E+04   1.7531273E+04   1.4653103E+04   3.6497309E+05   1.4511922E+05  -1.5062897E+04   2.9609553E+05   0.0000000E+00  -1.4245669E+04   3.6497309E+05  -1.4511922E+05  -1.5062897E+04   1.6464638E+02  -6.9765411E+01  -1.4652012E+04   1.0673652E+04   0.0000000E+00  -1.3907504E+04   1.6464638E+02   6.9765411E+01  -1.4652012E+04  -3.5611312E+05  -1.1496538E+05  -4.5546856E+05  -1.3999958E+01   1.1430160E-08  -1.0000139E+01  -3.0462403E+05  -1.1040267E-03  -4.0117869E+05  -1.3999958E+01   1.1430160E-08  -1.0000139E+01  -3.5611359E+05   1.1496553E+05  -4.5546912E+05  -1.3999958E+01   1.1430160E-08  -1.0000139E+01  -3.8919148E+04  -7.0735796E+03  -2.2831955E+05   5.4000042E+01  -2.6711002E-09  -9.9999304E+00  -4.4581879E+04   1.2075574E-04  -2.4654997E+05   5.4000042E+01  -2.6711002E-09  -9.9999304E+00  -3.8919105E+04   7.0735718E+03  -2.2831930E+05   5.4000042E+01  -2.6711002E-09  -9.9999304E+00  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003498E+01  -4.9846111E+01  -4.9264412E+01  -4.8281830E+01  -4.6933735E+01  -4.5237400E+01  -4.3209549E+01  -4.0879993E+01  -3.8273106E+01  -3.5409760E+01  -3.2313480E+01  -2.9006891E+01  -2.5504114E+01  -2.1834789E+01  -1.8014383E+01  -1.4066291E+01  -1.0000139E+01  -5.0005581E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005634E+01  -5.0004189E+01  -4.9891537E+01  -4.9295147E+01  -4.8279030E+01  -4.6902813E+01  -4.5183895E+01  -4.3126648E+01  -4.0759991E+01  -3.8121761E+01  -3.5227913E+01  -3.2109257E+01  -2.8800533E+01  -2.5304792E+01  -2.1654711E+01  -1.7870590E+01  -1.3982639E+01  -1.0000139E+01
    0.0210   5.8665625E+05   5.0011122E+05   5.8665812E+05   2.3280945E+05   2.5225947E+05   2.3280902E+05   3.9326188E+05   2.9586925E+05   3.9326188E+05   1.4653079E+04   1.7538633E+04   1.4653079E+04   3.6517066E+05   1.4518400E+05  -1.5063109E+04   2.9552612E+05   0.0000000E+00  -1.4245055E+04   3.6517066E+05  -1.4518400E+05  -1.5063109E+04   1.6266132E+02  -6.8924286E+01  -1.4652014E+04   1.0685754E+04   0.0000000E+00  -1.3907490E+04   1.6266132E+02   6.8924286E+01  -1.4652014E+04  -3.5438381E+05  -1.1442627E+05  -4.5330375E+05  -1.3999944E+01   8.2136138E-09  -1.0000188E+01  -3.0240609E+05  -7.6445646E-04  -3.9832369E+05  -1.3999944E+01   8.2136138E-09  -1.0000188E+01  -3.5438497E+05   1.1442664E+05  -4.5330519E+05  -1.3999944E+01   8.2136138E-09  -1.0000188E+01  -3.9091207E+04  -7.1055850E+03  -2.2939405E+05   5.4000057E+01   2.7186744E-09  -9.9999065E+00  -4.4879871E+04  -1.3703754E-04  -2.4823505E+05   5.4000057E+01   2.7186744E-09  -9.9999065E+00  -3.9091129E+04   7.1055708E+03  -2.2939362E+05   5.4000057E+01   2.7186744E-09  -9.9999065E+00  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003498E+01  -4.9846062E+01  -4.9264324E+01  -4.8281830E+01  -4.6933830E+01  -4.5237518E+01  -4.3209755E+01  -4.0880314E+01  -3.8273483E+01  -3.5410076E+01  -3.2313725E+01  -2.9006989E+01  -2.5504112E+01  -2.1834682E+01  -1.8014267E+01  -1.4066218E+01  -1.0000188E+01  -5.0005581E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005634E+01  -5.0004192E+01  -4.9891296E+01  -4.9294716E+01  -4.8278725E+01  -4.6902596E+01  -4.5183666E+01  -4.3126934E+01  -4.0760437E+01  -3.8122322E+01  -3.5228462E+01  -3.2109627E+01  -2.8800455E+01  -2.5304615E+01  -2.1654457E+01  -1.7870422E+01  -1.3982547E+01  -1.0000188E+01
    0.0240   5.8388000E+05   4.9680878E+05   5.8388312E+05   2.3247514E+05   2.5223847E+05   2.3247450E+05   3.9339038E+05   2.9553556E+05   3.9339038E+05   1.4653056E+04   1.7546162E+04   1.4653056E+04   3.6529488E+05   1.4521962E+05  -1.5063239E+04   2.9519206E+05   0.0000000E+00  -1.4244700E+04   3.6529488E+05  -1.4521962E+05  -1.5063239E+04   1.6068231E+02  -6.8085724E+01  -1.4652017E+04   1.0698128E+04   0.0000000E+00  -1.3907476E+04   1.6068231E+02   6.8085724E+01  -1.4652017E+04  -3.5268338E+05  -1.1389616E+05  -4.5117394E+05  -1.3999927E+01   1.0424350E-09  -1.0000245E+01  -3.0038112E+05  -4.2119147E-05  -3.9571472E+05  -1.3999927E+01   1.0424350E-09  -1.0000245E+01  -3.5268531E+05   1.1389677E+05  -4.5117631E+05  -1.3999927E+01   1.0424350E-09  -1.0000245E+01  -3.9008570E+04  -7.0912603E+03  -2.2906930E+05   5.4000072E+01   1.1613054E-08  -9.9998789E+00  -4.4851969E+04  -5.6251325E-04  -2.4821875E+05   5.4000072E+01   1.1613054E-08  -9.9998789E+00  -3.9008453E+04   7.0912383E+03  -2.2906866E+05   5.4000072E+01   1.1613054E-08  -9.9998789E+00  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003494E+01  -4.9846012E+01  -4.9264236E+01  -4.8281830E+01  -4.6933926E+01  -4.5237644E+01  -4.3209965E+01  -4.0880638E+01  -3.8273861E+01  -3.5410400E+01  -3.2313969E+01  -2.9007086E+01  -2.5504112E+01  -2.1834579E+01  -1.8014156E+01  -1.4066150E+01  -1.0000245E+01  -5.0005581E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005634E+01  -5.0004196E+01  -4.9891052E+01  -4.9294285E+01  -4.8278427E+01  -4.6902386E+01  -4.5183441E+01  -4.3127224E+01  -4.0760891E+01  -3.8122890E+01  -3.5229019E+01  -3.2110004E+01  -2.8800381E+01  -2.5304441E+01  -2.1654209E+01  -1.7870264E+01  -1.3982463E+01  -1.0000245E+01
