
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 03-Jul-2025 at 09:04:37.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        FAIRTEN4        FAIRTEN5        FAIRTEN6        ANCHTEN1        ANCHTEN2        ANCHTEN3        ANCHTEN4        ANCHTEN5        ANCHTEN6            P1FX            P1FY            P1FZ            P2FX            P2FY            P2FZ            P3FX            P3FY            P3FZ            P4FX            P4FY            P4FZ            P5FX            P5FY            P5FZ            P6FX            P6FY            P6FZ            P7FX            P7FY            P7FZ            P7PX            P7PY            P7PZ            P8FX            P8FY            P8FZ            P8PX            P8PY            P8PZ            P9FX            P9FY            P9FZ            P9PX            P9PY            P9PZ           P10FX           P10FY           P10FZ           P10PX           P10PY           P10PZ           P11FX           P11FY           P11FZ           P11PX           P11PY           P11PZ           P12FX           P12FY           P12FZ           P12PX           P12PY           P12PZ          L1N1PZ          L1N2PZ          L1N3PZ          L1N4PZ          L1N5PZ          L1N6PZ          L1N7PZ          L1N8PZ          L1N9PZ         L1N10PZ         L1N11PZ         L1N12PZ         L1N13PZ         L1N14PZ         L1N15PZ         L1N16PZ         L1N17PZ         L1N18PZ         L1N19PZ         L1N20PZ         L1N21PZ         L1N22PZ         L1N23PZ         L1N24PZ         L1N25PZ         L1N26PZ         L1N27PZ         L1N28PZ         L1N29PZ         L1N30PZ          L2N1PZ          L2N2PZ          L2N3PZ          L2N4PZ          L2N5PZ          L2N6PZ          L2N7PZ          L2N8PZ          L2N9PZ         L2N10PZ         L2N11PZ         L2N12PZ         L2N13PZ         L2N14PZ         L2N15PZ         L2N16PZ         L2N17PZ         L2N18PZ         L2N19PZ         L2N20PZ         L2N21PZ         L2N22PZ         L2N23PZ         L2N24PZ         L2N25PZ         L2N26PZ         L2N27PZ         L2N28PZ         L2N29PZ         L2N30PZ
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)
    0.0000   6.0768238E+05   5.3144500E+05   6.0768238E+05   2.1375523E+05   2.2846197E+05   2.1375523E+05   3.9030212E+05   3.0456419E+05   3.9030212E+05   1.4653254E+04   1.7491779E+04   1.4653254E+04   3.6238534E+05   1.4417288E+05  -1.5060047E+04   3.0423044E+05   0.0000000E+00  -1.4254551E+04   3.6238534E+05  -1.4417288E+05  -1.5060047E+04   1.7667349E+02  -7.4861649E+01  -1.4651998E+04   1.0608564E+04   0.0000000E+00  -1.3907578E+04   1.7667349E+02   7.4861649E+01  -1.4651998E+04  -3.6728022E+05  -1.1844852E+05  -4.6941778E+05  -1.4000000E+01   0.0000000E+00  -1.0000000E+01  -3.2165119E+05   0.0000000E+00  -4.2305356E+05  -1.4000000E+01   0.0000000E+00  -1.0000000E+01  -3.6728022E+05   1.1844852E+05  -4.6941778E+05  -1.4000000E+01   0.0000000E+00  -1.0000000E+01  -3.5828453E+04  -6.5071099E+03  -2.1063067E+05   5.4000000E+01   0.0000000E+00  -1.0000000E+01  -4.0557262E+04   0.0000000E+00  -2.2483322E+05   5.4000000E+01   0.0000000E+00  -1.0000000E+01  -3.5828453E+04   6.5071099E+03  -2.1063067E+05   5.4000000E+01   0.0000000E+00  -1.0000000E+01  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003502E+01  -4.9846302E+01  -4.9264881E+01  -4.8281872E+01  -4.6933205E+01  -4.5236679E+01  -4.3208347E+01  -4.0878101E+01  -3.8270863E+01  -3.5407871E+01  -3.2312050E+01  -2.9006317E+01  -2.5504179E+01  -2.1835474E+01  -1.8015163E+01  -1.4066796E+01  -1.0000000E+01  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005630E+01  -5.0004162E+01  -4.9892910E+01  -4.9297829E+01  -4.8281075E+01  -4.6904308E+01  -4.5185379E+01  -4.3125038E+01  -4.0757431E+01  -3.8118465E+01  -3.5224712E+01  -3.2107170E+01  -2.8801048E+01  -2.5305967E+01  -2.1656347E+01  -1.7871780E+01  -1.3983363E+01  -1.0000000E+01
    0.0030   6.0475862E+05   5.2635362E+05   6.0475762E+05   2.1879688E+05   2.3364136E+05   2.1879700E+05   3.9091166E+05   3.0268550E+05   3.9091166E+05   1.4653228E+04   1.7497588E+04   1.4653228E+04   3.6295681E+05   1.4438639E+05  -1.5060680E+04   3.0234975E+05   0.0000000E+00  -1.4252492E+04   3.6295681E+05  -1.4438639E+05  -1.5060680E+04   1.7465517E+02  -7.4006424E+01  -1.4652000E+04   1.0618152E+04   0.0000000E+00  -1.3907567E+04   1.7465517E+02   7.4006424E+01  -1.4652000E+04  -3.6548538E+05  -1.1789027E+05  -4.6717806E+05  -1.4000000E+01   8.8840707E-10  -1.0000002E+01  -3.1852244E+05  -9.0830887E-05  -4.1903650E+05  -1.4000000E+01   8.8840707E-10  -1.0000002E+01  -3.6548475E+05   1.1789008E+05  -4.6717728E+05  -1.4000000E+01   8.8840707E-10  -1.0000002E+01  -3.6712773E+04  -6.6686182E+03  -2.1559169E+05   5.4000000E+01  -7.0361772E-10  -9.9999981E+00  -4.1512449E+04   3.0590996E-05  -2.2992391E+05   5.4000000E+01  -7.0361772E-10  -9.9999981E+00  -3.6712797E+04   6.6686221E+03  -2.1559181E+05   5.4000000E+01  -7.0361772E-10  -9.9999981E+00  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003502E+01  -4.9846279E+01  -4.9264809E+01  -4.8281860E+01  -4.6933289E+01  -4.5236801E+01  -4.3208546E+01  -4.0878414E+01  -3.8271236E+01  -3.5408184E+01  -3.2312290E+01  -2.9006416E+01  -2.5504166E+01  -2.1835358E+01  -1.8015024E+01  -1.4066704E+01  -1.0000002E+01  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005630E+01  -5.0004166E+01  -4.9892689E+01  -4.9297375E+01  -4.8280712E+01  -4.6904041E+01  -4.5185123E+01  -4.3125298E+01  -4.0757847E+01  -3.8119011E+01  -3.5225239E+01  -3.2107506E+01  -2.8800961E+01  -2.5305763E+01  -2.1656065E+01  -1.7871561E+01  -1.3983223E+01  -1.0000002E+01
    0.0060   6.0443119E+05   5.2427428E+05   6.0443062E+05   2.1894864E+05   2.3386295E+05   2.1894867E+05   3.9146775E+05   3.0100312E+05   3.9146775E+05   1.4653202E+04   1.7503816E+04   1.4653202E+04   3.6347869E+05   1.4458014E+05  -1.5061258E+04   3.0066559E+05   0.0000000E+00  -1.4250649E+04   3.6347869E+05  -1.4458014E+05  -1.5061258E+04   1.7264240E+02  -7.3153557E+01  -1.4652002E+04   1.0628430E+04   0.0000000E+00  -1.3907556E+04   1.7264240E+02   7.3153557E+01  -1.4652002E+04  -3.6528975E+05  -1.1784771E+05  -4.6691794E+05  -1.3999999E+01   2.8385219E-09  -1.0000007E+01  -3.1725509E+05  -2.8868887E-04  -4.1738797E+05  -1.3999999E+01   2.8385219E-09  -1.0000007E+01  -3.6528944E+05   1.1784760E+05  -4.6691753E+05  -1.3999999E+01   2.8385219E-09  -1.0000007E+01  -3.6718062E+04  -6.6704585E+03  -2.1574473E+05   5.4000000E+01  -2.1330002E-09  -9.9999933E+00  -4.1531336E+04   9.2767637E-05  -2.3014567E+05   5.4000000E+01  -2.1330002E-09  -9.9999933E+00  -3.6718070E+04   6.6704600E+03  -2.1574478E+05   5.4000000E+01  -2.1330002E-09  -9.9999933E+00  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003502E+01  -4.9846256E+01  -4.9264732E+01  -4.8281853E+01  -4.6933376E+01  -4.5236919E+01  -4.3208744E+01  -4.0878731E+01  -3.8271610E+01  -3.5408501E+01  -3.2312527E+01  -2.9006512E+01  -2.5504150E+01  -2.1835239E+01  -1.8014887E+01  -1.4066613E+01  -1.0000007E+01  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005634E+01  -5.0004169E+01  -4.9892467E+01  -4.9296921E+01  -4.8280357E+01  -4.6903778E+01  -4.5184872E+01  -4.3125561E+01  -4.0758266E+01  -3.8119556E+01  -3.5225769E+01  -3.2107845E+01  -2.8800873E+01  -2.5305561E+01  -2.1655783E+01  -1.7871349E+01  -1.3983088E+01  -1.0000007E+01
    0.0090   6.0338219E+05   5.2168178E+05   6.0338119E+05   2.2157359E+05   2.3714752E+05   2.2157367E+05   3.9196616E+05   2.9952853E+05   3.9196616E+05   1.4653177E+04   1.7510342E+04   1.4653177E+04   3.6394684E+05   1.4475253E+05  -1.5061774E+04   2.9918944E+05   0.0000000E+00  -1.4249037E+04   3.6394684E+05  -1.4475253E+05  -1.5061774E+04   1.7063513E+02  -7.2303017E+01  -1.4652005E+04   1.0639188E+04   0.0000000E+00  -1.3907543E+04   1.7063513E+02   7.2303017E+01  -1.4652005E+04  -3.6465000E+05  -1.1766174E+05  -4.6610744E+05  -1.3999998E+01   6.1079035E-09  -1.0000015E+01  -3.1567003E+05  -6.1821612E-04  -4.1533638E+05  -1.3999998E+01   6.1079035E-09  -1.0000015E+01  -3.6464941E+05   1.1766155E+05  -4.6610666E+05  -1.3999998E+01   6.1079035E-09  -1.0000015E+01  -3.7167082E+04  -6.7529014E+03  -2.1832972E+05   5.4000000E+01  -4.0242321E-09  -9.9999857E+00  -4.2127652E+04   1.7763184E-04  -2.3337567E+05   5.4000000E+01  -4.0242321E-09  -9.9999857E+00  -3.7167094E+04   6.7529043E+03  -2.1832980E+05   5.4000000E+01  -4.0242321E-09  -9.9999857E+00  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003502E+01  -4.9846226E+01  -4.9264656E+01  -4.8281845E+01  -4.6933464E+01  -4.5237041E+01  -4.3208946E+01  -4.0879044E+01  -3.8271984E+01  -3.5408813E+01  -3.2312763E+01  -2.9006607E+01  -2.5504137E+01  -2.1835121E+01  -1.8014751E+01  -1.4066524E+01  -1.0000015E+01  -5.0005581E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005634E+01  -5.0004173E+01  -4.9892239E+01  -4.9296474E+01  -4.8280014E+01  -4.6903526E+01  -4.5184620E+01  -4.3125828E+01  -4.0758690E+01  -3.8120102E+01  -3.5226299E+01  -3.2108189E+01  -2.8800783E+01  -2.5305361E+01  -2.1655506E+01  -1.7871143E+01  -1.3982960E+01  -1.0000015E+01
    0.0120   6.0180088E+05   5.1867731E+05   6.0180019E+05   2.2355091E+05   2.4030962E+05   2.2355091E+05   3.9240131E+05   2.9827153E+05   3.9240131E+05   1.4653151E+04   1.7517111E+04   1.4653151E+04   3.6435625E+05   1.4490152E+05  -1.5062225E+04   2.9793106E+05   0.0000000E+00  -1.4247664E+04   3.6435625E+05  -1.4490152E+05  -1.5062225E+04   1.6863336E+02  -7.1454811E+01  -1.4652007E+04   1.0650341E+04   0.0000000E+00  -1.3907530E+04   1.6863336E+02   7.1454811E+01  -1.4652007E+04  -3.6368262E+05  -1.1736992E+05  -4.6489084E+05  -1.3999997E+01   9.1680770E-09  -1.0000028E+01  -3.1382978E+05  -9.2137814E-04  -4.1296128E+05  -1.3999997E+01   9.1680770E-09  -1.0000028E+01  -3.6368225E+05   1.1736979E+05  -4.6489034E+05  -1.3999997E+01   9.1680770E-09  -1.0000028E+01  -3.7499395E+04  -6.8141387E+03  -2.2027794E+05   5.4000004E+01  -5.1643672E-09  -9.9999743E+00  -4.2700234E+04   2.3102656E-04  -2.3648553E+05   5.4000004E+01  -5.1643672E-09  -9.9999743E+00  -3.7499395E+04   6.8141392E+03  -2.2027794E+05   5.4000004E+01  -5.1643672E-09  -9.9999743E+00  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003502E+01  -4.9846191E+01  -4.9264576E+01  -4.8281837E+01  -4.6933556E+01  -4.5237160E+01  -4.3209145E+01  -4.0879360E+01  -3.8272354E+01  -3.5409126E+01  -3.2313000E+01  -2.9006699E+01  -2.5504124E+01  -2.1835005E+01  -1.8014620E+01  -1.4066436E+01  -1.0000028E+01  -5.0005581E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005634E+01  -5.0004181E+01  -4.9892010E+01  -4.9296028E+01  -4.8279675E+01  -4.6903278E+01  -4.5184376E+01  -4.3126095E+01  -4.0759117E+01  -3.8120651E+01  -3.5226833E+01  -3.2108536E+01  -2.8800695E+01  -2.5305162E+01  -2.1655231E+01  -1.7870945E+01  -1.3982838E+01  -1.0000028E+01
    0.0150   6.0043000E+05   5.1611034E+05   6.0042988E+05   2.2560036E+05   2.4347211E+05   2.2560025E+05   3.9276638E+05   2.9723978E+05   3.9276638E+05   1.4653127E+04   1.7524094E+04   1.4653127E+04   3.6470044E+05   1.4502459E+05  -1.5062602E+04   2.9689816E+05   0.0000000E+00  -1.4246540E+04   3.6470044E+05  -1.4502459E+05  -1.5062602E+04   1.6663710E+02  -7.0608940E+01  -1.4652010E+04   1.0661840E+04   0.0000000E+00  -1.3907518E+04   1.6663710E+02   7.0608940E+01  -1.4652010E+04  -3.6284512E+05  -1.1711984E+05  -4.6383462E+05  -1.3999996E+01   1.1339277E-08  -1.0000043E+01  -3.1225947E+05  -1.1313029E-03  -4.1093056E+05  -1.3999996E+01   1.1339277E-08  -1.0000043E+01  -3.6284503E+05   1.1711980E+05  -4.6383453E+05  -1.3999996E+01   1.1339277E-08  -1.0000043E+01  -3.7844207E+04  -6.8776431E+03  -2.2229717E+05   5.4000004E+01  -4.9905218E-09  -9.9999599E+00  -4.3272258E+04   2.2605607E-04  -2.3959586E+05   5.4000004E+01  -4.9905218E-09  -9.9999599E+00  -3.7844191E+04   6.8776406E+03  -2.2229708E+05   5.4000004E+01  -4.9905218E-09  -9.9999599E+00  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003498E+01  -4.9846153E+01  -4.9264496E+01  -4.8281834E+01  -4.6933643E+01  -4.5237278E+01  -4.3209347E+01  -4.0879677E+01  -3.8272728E+01  -3.5409439E+01  -3.2313236E+01  -2.9006790E+01  -2.5504110E+01  -2.1834888E+01  -1.8014490E+01  -1.4066350E+01  -1.0000043E+01  -5.0005581E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005634E+01  -5.0004185E+01  -4.9891773E+01  -4.9295586E+01  -4.8279350E+01  -4.6903042E+01  -4.5184132E+01  -4.3126369E+01  -4.0759548E+01  -3.8121201E+01  -3.5227367E+01  -3.2108891E+01  -2.8800608E+01  -2.5304968E+01  -2.1654959E+01  -1.7870752E+01  -1.3982721E+01  -1.0000043E+01
    0.0180   5.9897856E+05   5.1367747E+05   5.9897931E+05   2.2713403E+05   2.4580175E+05   2.2713378E+05   3.9305447E+05   2.9643803E+05   3.9305447E+05   1.4653103E+04   1.7531273E+04   1.4653103E+04   3.6497309E+05   1.4511922E+05  -1.5062898E+04   2.9609556E+05   0.0000000E+00  -1.4245669E+04   3.6497309E+05  -1.4511922E+05  -1.5062898E+04   1.6464638E+02  -6.9765411E+01  -1.4652012E+04   1.0673652E+04   0.0000000E+00  -1.3907504E+04   1.6464638E+02   6.9765411E+01  -1.4652012E+04  -3.6195812E+05  -1.1685362E+05  -4.6271681E+05  -1.3999994E+01   1.1326053E-08  -1.0000062E+01  -3.1077153E+05  -1.1197797E-03  -4.0900566E+05  -1.3999994E+01   1.1326053E-08  -1.0000062E+01  -3.6195859E+05   1.1685378E+05  -4.6271741E+05  -1.3999994E+01   1.1326053E-08  -1.0000062E+01  -3.8096215E+04  -6.9242734E+03  -2.2380930E+05   5.4000008E+01  -2.5796518E-09  -9.9999437E+00  -4.3686902E+04   1.1733069E-04  -2.4188831E+05   5.4000008E+01  -2.5796518E-09  -9.9999437E+00  -3.8096168E+04   6.9242656E+03  -2.2380906E+05   5.4000008E+01  -2.5796518E-09  -9.9999437E+00  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003498E+01  -4.9846111E+01  -4.9264412E+01  -4.8281830E+01  -4.6933735E+01  -4.5237400E+01  -4.3209549E+01  -4.0879993E+01  -3.8273102E+01  -3.5409752E+01  -3.2313473E+01  -2.9006882E+01  -2.5504101E+01  -2.1834772E+01  -1.8014362E+01  -1.4066265E+01  -1.0000062E+01  -5.0005581E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005634E+01  -5.0004189E+01  -4.9891537E+01  -4.9295147E+01  -4.8279030E+01  -4.6902813E+01  -4.5183895E+01  -4.3126648E+01  -4.0759987E+01  -3.8121758E+01  -3.5227909E+01  -3.2109249E+01  -2.8800522E+01  -2.5304777E+01  -2.1654692E+01  -1.7870567E+01  -1.3982611E+01  -1.0000062E+01
    0.0210   5.9759869E+05   5.1156744E+05   5.9760062E+05   2.2798180E+05   2.4718430E+05   2.2798134E+05   3.9326191E+05   2.9586938E+05   3.9326191E+05   1.4653079E+04   1.7538633E+04   1.4653079E+04   3.6517069E+05   1.4518402E+05  -1.5063110E+04   2.9552625E+05   0.0000000E+00  -1.4245055E+04   3.6517069E+05  -1.4518402E+05  -1.5063110E+04   1.6266132E+02  -6.8924286E+01  -1.4652014E+04   1.0685754E+04   0.0000000E+00  -1.3907490E+04   1.6266132E+02   6.8924286E+01  -1.4652014E+04  -3.6111541E+05  -1.1660155E+05  -4.6165347E+05  -1.3999992E+01   8.0157037E-09  -1.0000084E+01  -3.0948266E+05  -7.7983050E-04  -4.0733491E+05  -1.3999992E+01   8.0157037E-09  -1.0000084E+01  -3.6111659E+05   1.1660193E+05  -4.6165494E+05  -1.3999992E+01   8.0157037E-09  -1.0000084E+01  -3.8225117E+04  -6.9485176E+03  -2.2464695E+05   5.4000008E+01   2.8959191E-09  -9.9999237E+00  -4.3922945E+04  -1.3516117E-04  -2.4325059E+05   5.4000008E+01   2.8959191E-09  -9.9999237E+00  -3.8225039E+04   6.9485029E+03  -2.2464653E+05   5.4000008E+01   2.8959191E-09  -9.9999237E+00  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003498E+01  -4.9846062E+01  -4.9264324E+01  -4.8281826E+01  -4.6933826E+01  -4.5237518E+01  -4.3209755E+01  -4.0880310E+01  -3.8273476E+01  -3.5410069E+01  -3.2313709E+01  -2.9006971E+01  -2.5504091E+01  -2.1834658E+01  -1.8014236E+01  -1.4066181E+01  -1.0000084E+01  -5.0005581E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005634E+01  -5.0004192E+01  -4.9891296E+01  -4.9294712E+01  -4.8278725E+01  -4.6902592E+01  -4.5183662E+01  -4.3126930E+01  -4.0760429E+01  -3.8122314E+01  -3.5228451E+01  -3.2109612E+01  -2.8800436E+01  -2.5304590E+01  -2.1654428E+01  -1.7870388E+01  -1.3982508E+01  -1.0000084E+01
    0.0240   5.9620512E+05   5.0970088E+05   5.9620831E+05   2.2777612E+05   2.4722823E+05   2.2777548E+05   3.9339094E+05   2.9553700E+05   3.9339094E+05   1.4653056E+04   1.7546162E+04   1.4653056E+04   3.6529541E+05   1.4521983E+05  -1.5063240E+04   2.9519350E+05   0.0000000E+00  -1.4244702E+04   3.6529541E+05  -1.4521983E+05  -1.5063240E+04   1.6068233E+02  -6.8085732E+01  -1.4652017E+04   1.0698128E+04   0.0000000E+00  -1.3907476E+04   1.6068233E+02   6.8085732E+01  -1.4652017E+04  -3.6026444E+05  -1.1634666E+05  -4.6057959E+05  -1.3999990E+01   7.2726170E-10  -1.0000109E+01  -3.0834384E+05  -4.8271875E-05  -4.0585597E+05  -1.3999990E+01   7.2726170E-10  -1.0000109E+01  -3.6026638E+05   1.1634729E+05  -4.6058200E+05  -1.3999990E+01   7.2726170E-10  -1.0000109E+01  -3.8165406E+04  -6.9384551E+03  -2.2444872E+05   5.4000011E+01   1.1900137E-08  -9.9999018E+00  -4.3907078E+04  -5.5129838E-04  -2.4329811E+05   5.4000011E+01   1.1900137E-08  -9.9999018E+00  -3.8165289E+04   6.9384331E+03  -2.2444808E+05   5.4000011E+01   1.1900137E-08  -9.9999018E+00  -5.0005577E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005623E+01  -5.0003494E+01  -4.9846008E+01  -4.9264236E+01  -4.8281826E+01  -4.6933922E+01  -4.5237637E+01  -4.3209957E+01  -4.0880630E+01  -3.8273849E+01  -3.5410381E+01  -3.2313950E+01  -2.9007061E+01  -2.5504082E+01  -2.1834543E+01  -1.8014114E+01  -1.4066100E+01  -1.0000109E+01  -5.0005581E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005634E+01  -5.0004196E+01  -4.9891052E+01  -4.9294285E+01  -4.8278427E+01  -4.6902382E+01  -4.5183434E+01  -4.3127216E+01  -4.0760883E+01  -3.8122875E+01  -3.5229000E+01  -3.2109982E+01  -2.8800352E+01  -2.5304407E+01  -2.1654169E+01  -1.7870218E+01  -1.3982409E+01  -1.0000109E+01
