Mode Number Table,,,,,,,,,,,,,,,,,,,,
Wind Speed (mps),8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Generator DOF (not shown),6,78,1,44,63,7,68,19,14,16,8,7,6,8,10,7,6,8,11,11
1st Tower FA,83,79,82,82,85,84,80,83,80,80,85,85,83,84,85,81,43,44,48,48
1st Tower SS,0,0,81,0,0,83,0,0,0,0,0,0,40,53,64,64,61,62,79,80
1st Blade Flap (Regressive),17,80,83,86,89,17,86,89,86,86,91,91,89,91,93,89,89,90,94,96
1st Blade Flap (Collective),19,82,26,15,17,19,29,39,38,49,31,47,41,51,66,59,7,63,12,13
1st Blade Flap (Progressive),20,81,13,17,18,20,31,41,40,50,47,52,42,57,68,61,60,61,64,64
1st Blade Edge (Regressive),91,83,86,88,91,91,88,91,88,88,93,93,91,93,95,91,91,91,95,95
1st Blade Edge (Collective),90,85,93,90,93,97,90,93,90,90,95,95,93,95,97,93,93,94,98,98
1st Blade Edge (Progressive),25,84,30,30,92,24,33,43,52,54,62,53,48,61,96,62,63,64,66,66
1st Drivetrain Torsion,92,91,94,91,99,92,96,99,96,91,101,101,99,101,103,99,99,100,104,104
2nd Tower FA,96,89,92,94,97,96,94,97,94,94,99,99,97,99,101,97,97,98,102,102
2nd Tower SS,0,90,0,95,98,0,95,98,95,95,100,100,98,100,102,98,98,99,103,103
2nd Blade Flap (Regressive),94,86,89,92,94,94,91,94,91,93,96,96,94,96,98,94,94,95,99,99
2nd Blade Flap (Collective),30,88,91,19,96,87,92,95,42,92,97,97,95,97,99,95,95,96,100,100
2nd Blade Flap (Progressive),21,87,90,93,95,21,93,42,93,51,48,54,43,63,70,71,62,65,65,65
Nacelle Yaw (not shown),0,92,95,97,100,0,97,100,97,97,102,102,100,102,104,100,100,101,105,105
