# -----------------------------------------------------------------------
# --- OP 1 - WS 8.0 - RPM 4.00 
# -----------------------------------------------------------------------
# --- "Selected" modes
# ID; Freq [Hz]; Zeta [-]; Mode content
006 ;    0.057 ; -0.0105 ; ED Variable speed generator DOF - ED 1st FLAP sin - ED 1st FLAP cos - ED 1st FLAP coll. - ED 2nd FLAP coll. - ED 2nd FLAP sin - ED 1st EDGE coll. - ED 1st EDGE sin - ED Nacelle yaw DOF - AD vind at Bld coll., node 17/s - AD vind at Bld coll., node 16/s - AD vind at Bld coll., node 15/s - AD vind at Bld coll., node 14/s - AD vind at Bld coll., node 9/s - AD vind at Bld coll., node 11/s - AD vind at Bld coll., node 8/s - AD vind at Bld coll., node 12/s - AD vind at Bld coll., node 7/s - AD vind at Bld coll., node 5/s
017 ;    0.127 ;  0.1202 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s - AD vind at Bld cos, node 5/s - AD vind at Bld sin , node 5/s
019 ;    0.127 ;  0.1190 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 6/s - AD vind at Bld cos, node 6/s - AD vind at Bld cos, node 6/s - AD vind at Bld sin , node 6/s
020 ;    0.127 ;  0.1174 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 7/s - AD vind at Bld cos, node 7/s - AD vind at Bld cos, node 7/s - AD vind at Bld sin , node 7/s
021 ;    0.127 ;  0.1174 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 7/s - AD vind at Bld sin , node 7/s - AD vind at Bld cos, node 7/s - AD vind at Bld sin , node 7/s
022 ;    0.128 ;  0.1155 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 8/s - AD vind at Bld sin , node 8/s - AD vind at Bld cos, node 8/s - AD vind at Bld sin , node 8/s
025 ;    0.128 ;  0.1132 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 9/s - AD vind at Bld sin , node 9/s - AD vind at Bld cos, node 9/s - AD vind at Bld sin , node 9/s
027 ;    0.128 ;  0.1106 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 10/s - AD vind at Bld sin , node 10/s - AD vind at Bld cos, node 10/s - AD vind at Bld sin , node 10/s
030 ;    0.129 ;  0.1044 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 12/s - AD vind at Bld sin , node 12/s - AD vind at Bld sin , node 12/s - AD vind at Bld cos, node 12/s
033 ;    0.130 ;  0.1009 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 13/s - AD vind at Bld sin , node 13/s - AD vind at Bld sin , node 13/s - AD vind at Bld cos, node 13/s
039 ;    0.130 ;  0.0970 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 14/s - AD vind at Bld sin , node 14/s - AD vind at Bld sin , node 14/s - AD vind at Bld cos, node 14/s
043 ;    0.131 ;  0.0929 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 15/s - AD vind at Bld sin , node 15/s - AD vind at Bld sin , node 15/s - AD vind at Bld cos, node 15/s
047 ;    0.132 ;  0.0893 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 16/s - AD vind at Bld cos, node 16/s - AD vind at Bld cos, node 16/s - AD vind at Bld sin , node 16/s
051 ;    0.133 ;  0.0863 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 17/s - AD vind at Bld cos, node 17/s - AD vind at Bld cos, node 17/s - AD vind at Bld sin , node 17/s
083 ;    0.321 ;  0.0025 ; ED 1st tower SS - ED 1st tower FA
086 ;    0.344 ; -0.0138 ; NoMax - ED 1st FLAP sin - ED 1st FLAP cos - ED Variable speed generator DOF - AD vind at Bld sin , node 19/s - AD vind at Bld cos, node 19/s
087 ;    0.626 ;  0.0306 ; NoMax - ED 1st FLAP cos - ED 1st FLAP sin - AD vind at Bld sin , node 19/s - AD vind at Bld cos, node 19/s - AD vind at Bld coll., node 19/s
088 ;    0.727 ;  0.0238 ; NoMax - ED 1st FLAP sin - ED 1st FLAP cos - ED 1st FLAP coll. - AD vind at Bld sin , node 19/s - AD vind at Bld cos, node 19/s
089 ;    0.847 ; -0.3364 ; NoMax - ED 1st FLAP sin - ED 1st FLAP cos - AD vind at Bld sin , node 19/s - AD vind at Bld cos, node 19/s - AD vind at Bld coll., node 19/s
090 ;    0.866 ;  0.4244 ; NoMax - ED 1st FLAP cos - ED 1st FLAP sin - AD vind at Bld cos, node 19/s - AD vind at Bld sin , node 19/s - AD vind at Bld coll., node 19/s
091 ;    1.086 ; -0.0328 ; ED 1st EDGE cos
092 ;    1.711 ; -0.0103 ; ED Drivetrain-rot
093 ;    1.764 ;  0.0872 ; NoMax - ED 2nd FLAP sin - ED 2nd FLAP coll. - ED Variable speed generator DOF - AD vind at Bld sin , node 19/s - AD vind at Bld coll., node 19/s
094 ;    1.987 ; -0.0019 ; ED 2nd FLAP cos
095 ;    2.270 ;  0.0016 ; NoMax - ED 2nd FLAP coll. - ED 2nd FLAP sin - ED Drivetrain-rot - AD vind at Bld coll., node 19/s - AD vind at Bld sin , node 19/s
096 ;    2.939 ;  0.0114 ; ED 2nd tower SS - ED 2nd tower FA
097 ;    3.165 ;  0.0140 ; NoMax - ED Drivetrain-rot - ED 2nd FLAP coll. - ED 2nd FLAP sin - AD vind at Bld coll., node 19/s - AD vind at Bld sin , node 19/s
098 ;    6.465 ;  0.2638 ; NoMax - ED 1st EDGE coll. - ED Drivetrain-rot - ED 2nd FLAP sin - ED 2nd FLAP coll. - AD vind at Bld coll., node 19/s
099 ;    6.642 ; -0.3126 ; NoMax - ED 1st EDGE coll. - ED Drivetrain-rot - ED 2nd FLAP sin - ED 2nd FLAP coll. - AD vind at Bld coll., node 19/s
# --- Skipped (No ED/BD)
008 ;    0.127 ;  0.1216 ; NoMax - AD vind at Bld cos, node 1/s - AD vind at Bld sin , node 1/s - AD vind at Bld cos, node 1/s - AD vind at Bld sin , node 1/s - AD vind at Bld cos, node 2/s
009 ;    0.127 ;  0.1216 ; NoMax - AD vind at Bld sin , node 1/s - AD vind at Bld cos, node 1/s - AD vind at Bld sin , node 1/s - AD vind at Bld cos, node 1/s - AD vind at Bld sin , node 5/s
010 ;    0.127 ;  0.1216 ; NoMax - AD vind at Bld cos, node 2/s - AD vind at Bld sin , node 2/s - AD vind at Bld sin , node 2/s - AD vind at Bld cos, node 2/s - AD vind at Bld sin , node 1/s
011 ;    0.127 ;  0.1216 ; NoMax - AD vind at Bld cos, node 2/s - AD vind at Bld sin , node 2/s - AD vind at Bld cos, node 2/s - AD vind at Bld sin , node 2/s - AD vind at Bld sin , node 1/s
012 ;    0.127 ;  0.1213 ; NoMax - AD vind at Bld sin , node 3/s - AD vind at Bld cos, node 3/s - AD vind at Bld cos, node 3/s - AD vind at Bld sin , node 3/s - AD vind at Bld sin , node 1/s
013 ;    0.127 ;  0.1213 ; NoMax - AD vind at Bld sin , node 3/s - AD vind at Bld cos, node 3/s - AD vind at Bld sin , node 3/s - AD vind at Bld cos, node 3/s - AD vind at Bld sin , node 1/s
014 ;    0.127 ;  0.1209 ; NoMax - AD vind at Bld cos, node 4/s - AD vind at Bld sin , node 4/s - AD vind at Bld cos, node 4/s - AD vind at Bld sin , node 4/s - AD vind at Bld sin , node 5/s
015 ;    0.127 ;  0.1209 ; NoMax - AD vind at Bld sin , node 4/s - AD vind at Bld cos, node 4/s - AD vind at Bld cos, node 4/s - AD vind at Bld sin , node 4/s - AD vind at Bld sin , node 5/s
016 ;    0.127 ;  0.1202 ; NoMax - AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s - AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s - AD vind at Bld sin , node 6/s
018 ;    0.127 ;  0.1190 ; NoMax - AD vind at Bld sin , node 6/s - AD vind at Bld cos, node 6/s - AD vind at Bld sin , node 6/s - AD vind at Bld cos, node 6/s - AD vind at Bld cos, node 5/s
023 ;    0.128 ;  0.1155 ; AD vind at Bld cos, node 8/s - AD vind at Bld sin , node 8/s
024 ;    0.128 ;  0.1132 ; NoMax - AD vind at Bld cos, node 9/s - AD vind at Bld sin , node 9/s - AD vind at Bld sin , node 9/s - AD vind at Bld cos, node 9/s - AD vind at Bld sin , node 19/s
026 ;    0.128 ;  0.1106 ; NoMax - AD vind at Bld cos, node 10/s - AD vind at Bld sin , node 10/s - AD vind at Bld cos, node 10/s - AD vind at Bld sin , node 10/s - AD vind at Bld sin , node 19/s
028 ;    0.129 ;  0.1077 ; NoMax - AD vind at Bld cos, node 11/s - AD vind at Bld sin , node 11/s - AD vind at Bld sin , node 11/s - AD vind at Bld cos, node 11/s - AD vind at Bld cos, node 19/s
029 ;    0.129 ;  0.1077 ; NoMax - AD vind at Bld cos, node 11/s - AD vind at Bld sin , node 11/s - AD vind at Bld cos, node 11/s - AD vind at Bld sin , node 11/s - AD vind at Bld cos, node 19/s
031 ;    0.129 ;  0.1044 ; AD vind at Bld cos, node 12/s - AD vind at Bld sin , node 12/s
032 ;    0.130 ;  0.1009 ; NoMax - AD vind at Bld cos, node 13/s - AD vind at Bld sin , node 13/s - AD vind at Bld cos, node 13/s - AD vind at Bld sin , node 13/s - AD vind at Bld cos, node 19/s
038 ;    0.130 ;  0.0970 ; NoMax - AD vind at Bld cos, node 14/s - AD vind at Bld sin , node 14/s - AD vind at Bld cos, node 14/s - AD vind at Bld sin , node 14/s - AD vind at Bld cos, node 19/s
042 ;    0.131 ;  0.0929 ; NoMax - AD vind at Bld cos, node 15/s - AD vind at Bld sin , node 15/s - AD vind at Bld cos, node 15/s - AD vind at Bld sin , node 15/s - AD vind at Bld cos, node 19/s
046 ;    0.132 ;  0.0893 ; NoMax - AD vind at Bld sin , node 16/s - AD vind at Bld cos, node 16/s - AD vind at Bld sin , node 16/s - AD vind at Bld cos, node 16/s - AD vind at Bld sin , node 19/s
050 ;    0.133 ;  0.0864 ; NoMax - AD vind at Bld sin , node 17/s - AD vind at Bld cos, node 17/s - AD vind at Bld sin , node 17/s - AD vind at Bld cos, node 17/s - AD vind at Bld sin , node 19/s
052 ;    0.133 ;  0.0834 ; NoMax - AD vind at Bld sin , node 18/s - AD vind at Bld cos, node 18/s - AD vind at Bld sin , node 18/s - AD vind at Bld cos, node 18/s - AD vind at Bld sin , node 19/s
053 ;    0.133 ;  0.0833 ; NoMax - AD vind at Bld sin , node 18/s - AD vind at Bld cos, node 18/s - AD vind at Bld cos, node 18/s - AD vind at Bld sin , node 18/s - AD vind at Bld sin , node 19/s
