
Predictions were generated on 03-Jul-2025 at 08:26:12 using OpenFAST, compiled on Jun 19 2025 at 03:54:01 as a 64-bit application using single precision at commit v4.1.0
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: NREL                   MW          - Baseline Wind Turbine (Onshore), Linearization with AeroDyn + ED

Time	Wind1VelX	Wind1VelY	Wind1VelZ	OoPDefl1	IPDefl1	TwstDefl1	BldPitch1	Azimuth	RotSpeed	GenSpeed	TTDspFA	TTDspSS	TTDspTwst	Spn2MLxb1	Spn2MLyb1	RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RotTorq	LSSGagMya	LSSGagMza	YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt	RtAeroCp	GenPwr	GenTq
(s)	(m/s)	(m/s)	(m/s)	(m)	(m)	(deg)	(deg)	(deg)	(rpm)	(rpm)	(m)	(m)	(deg)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(-)	(kW)	(kN-m)
    0.0000	 4.000000000000E+000	 0.000000000000E+000	 0.000000000000E+000	 0.000000000000E+000	 0.000000000000E+000	 0.000000000000E+000	 0.000000000000E+000	 0.000000000000E+000	 2.500000000000E+000	 2.425000000000E+002	 0.000000000000E+000	 0.000000000000E+000	 0.000000000000E+000	 4.775830805302E-001	-4.417648792267E+000	 6.263620376587E+000	-6.180119514465E-001	-1.439220123291E+002	 5.550221920013E+000	 5.072180557251E+001	-6.723698930955E-008	-1.457860253140E-005	-1.944711914062E+003	-4.273480987549E+001	 1.771829223633E+001	-8.138130605221E-002	-3.325740966797E+003	-1.167734146118E+000	-4.218877258301E+002	-2.777683675959E-006	-1.375151443481E+001	 2.146439999342E-002	-6.733162597656E+003	-4.204176366329E-001	-3.226355590820E+002	-2.777683675959E-006	 2.376072555780E-001	 0.000000000000E+000	 0.000000000000E+000
    0.1000	 4.000000000000E+000	 0.000000000000E+000	 0.000000000000E+000	 3.809398412704E-002	-4.645561799407E-003	 0.000000000000E+000	 0.000000000000E+000	 1.500838398933E+000	 2.503589391708E+000	 2.425750732422E+002	-2.781270013656E-004	-2.007876173593E-005	 0.000000000000E+000	-2.025745630264E+000	 1.622819709778E+001	 9.828936576843E+000	-2.534808874130E+000	-1.448808593750E+002	 3.271537399292E+001	 1.798570861816E+002	 1.990565299988E+000	 1.293670845032E+001	-2.070962158203E+003	-2.142532348633E+001	 8.753269195557E+000	-6.979665905237E-002	-3.350430908203E+003	 6.650881290436E+000	-6.663074951172E+002	-8.077294158936E+001	 1.497349357605E+001	-1.639920473099E-001	-6.757849609375E+003	 3.766824483871E+000	 4.512067260742E+002	-8.077297210693E+001	 2.635051906109E-001	 0.000000000000E+000	 0.000000000000E+000
    0.2000	 4.000000000000E+000	 0.000000000000E+000	 0.000000000000E+000	 1.487673968077E-001	-1.989299431443E-002	 0.000000000000E+000	 0.000000000000E+000	 3.004408836365E+000	 2.508301496506E+000	 2.430761718750E+002	-8.386624394916E-004	-1.436166494386E-004	 0.000000000000E+000	-4.123070240021E+000	 7.380347442627E+001	 1.502153491974E+001	-6.943582057953E+000	-1.451945953369E+002	 1.083640441895E+002	 4.092564086914E+002	 1.905558943748E+000	 4.005655288696E+001	-2.384350830078E+003	 1.927146148682E+001	 1.035471248627E+001	-4.611884355545E-001	-3.408597412109E+003	 3.286375808716E+001	-1.168109375000E+003	-9.079361724854E+001	 3.678570175171E+001	 1.215794920921E+000	-6.816019042969E+003	-2.599506378174E+001	 1.037978881836E+003	-9.079412078857E+001	 2.801215052605E-001	 0.000000000000E+000	 0.000000000000E+000
    0.3000	 4.000000000000E+000	 0.000000000000E+000	 0.000000000000E+000	 3.152168393135E-001	-4.747189953923E-002	 0.000000000000E+000	 0.000000000000E+000	 4.511175632477E+000	 2.514362573624E+000	 2.439313812256E+002	-1.296184491366E-003	-3.848668129649E-004	 0.000000000000E+000	 7.076068401337E+000	 1.560460357666E+002	 2.070948219299E+001	-1.228474330902E+001	-1.435214385986E+002	 2.271876220703E+002	 6.413240356445E+002	 1.756134748459E+000	 4.832424163818E+001	-2.691849121094E+003	 4.687357330322E+001	 3.145955085754E+001	-1.163533687592E+000	-3.472954833984E+003	 3.648834228516E+001	-1.599149902344E+003	-1.517388916016E+002	 1.961593818665E+001	 2.051309108734E+000	-6.880372558594E+003	-2.045931434631E+001	 5.600117187500E+002	-1.517406616211E+002	 2.890625298023E-001	 0.000000000000E+000	 0.000000000000E+000
    0.4000	 4.000000000000E+000	 0.000000000000E+000	 0.000000000000E+000	 5.030461549759E-001	-8.365251123905E-002	 0.000000000000E+000	 0.000000000000E+000	 6.021822452545E+000	 2.521641016006E+000	 2.447160339355E+002	-1.542087295093E-003	-6.222993251868E-004	 0.000000000000E+000	 3.038755607605E+001	 2.504644165039E+002	 2.532035064697E+001	-1.748250579834E+001	-1.432717437744E+002	 3.732209777832E+002	 8.832242431641E+002	 1.502361059189E+000	 3.611366271973E+001	-2.819574951172E+003	 9.688489532471E+001	 3.392830276489E+001	 3.688606023788E-001	-3.516946777344E+003	 1.367945671082E+001	-1.860503173828E+003	-2.523982543945E+002	 2.791760063171E+001	-2.031845092773E+000	-6.924361328125E+003	 1.241833267212E+002	 7.890944213867E+002	-2.524009857178E+002	 2.927521765232E-001	 0.000000000000E+000	 0.000000000000E+000
    0.5000	 4.000000000000E+000	 0.000000000000E+000	 0.000000000000E+000	 6.720906496048E-001	-1.207337379456E-001	 0.000000000000E+000	 0.000000000000E+000	 7.537332057953E+000	 2.529846906662E+000	 2.453447265625E+002	-1.428365358151E-003	-6.863269954920E-004	 0.000000000000E+000	 5.447209167480E+001	 3.362096252441E+002	 2.969410705566E+001	-2.429673004150E+001	-1.437909545898E+002	 5.442376098633E+002	 1.125863647461E+003	 1.158723592758E+000	 3.468038940430E+001	-2.783426269531E+003	 3.164172058105E+002	 2.413480377197E+001	 2.407783746719E+000	-3.523098144531E+003	 2.144872856140E+001	-1.909370239258E+003	-8.965340423584E+001	 5.031998825073E+001	-4.890674114227E+000	-6.930518066406E+003	 2.067544860840E+002	 1.421980102539E+003	-8.965609741211E+001	 2.892674207687E-001	 0.000000000000E+000	 0.000000000000E+000
    0.6000	 4.000000000000E+000	 0.000000000000E+000	 0.000000000000E+000	 7.926728725433E-001	-1.531213819981E-001	 0.000000000000E+000	 0.000000000000E+000	 9.058059692383E+000	 2.539896488190E+000	 2.460987091064E+002	-5.753725999966E-004	-4.783693002537E-004	 0.000000000000E+000	 8.212687683105E+001	 3.955809936523E+002	 3.413153839111E+001	-2.992021369934E+001	-1.424995117188E+002	 6.968020629883E+002	 1.306394775391E+003	 6.874409914017E-001	 5.079610443115E+001	-2.691046386719E+003	 6.584245605469E+002	 3.487340927124E+001	 1.611681580544E+000	-3.489471923828E+003	 6.302423858643E+001	-1.719378662109E+003	 1.809428253174E+002	 2.888766860962E+001	-3.124794960022E-001	-6.896886230469E+003	 4.796321487427E+001	 9.067229003906E+002	 1.809409179688E+002	 2.800993621349E-001	 0.000000000000E+000	 0.000000000000E+000
    0.7000	 4.000000000000E+000	 0.000000000000E+000	 0.000000000000E+000	 8.516302704811E-001	-1.746971458197E-001	 0.000000000000E+000	 0.000000000000E+000	 1.058572673798E+001	 2.552782773972E+000	 2.473077239990E+002	 1.443786779419E-003	-4.384713611216E-005	 0.000000000000E+000	 1.028854293823E+002	 4.242265014648E+002	 3.680923843384E+001	-3.445676803589E+001	-1.411585693359E+002	 8.109902954102E+002	 1.403652343750E+003	 2.974287271500E-001	 8.061148834229E+001	-2.536058837891E+003	 1.013557922363E+003	 4.484277725220E+001	 1.700550913811E+000	-3.431796630859E+003	 1.219055862427E+002	-1.416092895508E+003	 5.152220458984E+002	 9.133979797363E+000	 3.701940059662E+000	-6.839212890625E+003	-1.276983871460E+002	 5.617894287109E+002	 5.152218017578E+002	 2.636998295784E-001	 0.000000000000E+000	 0.000000000000E+000
    0.8000	 4.000000000000E+000	 0.000000000000E+000	 0.000000000000E+000	 8.470670580864E-001	-1.811130195856E-001	 0.000000000000E+000	 0.000000000000E+000	 1.212178230286E+001	 2.567395925522E+000	 2.489971618652E+002	 5.022027529776E-003	 3.739994717762E-004	 0.000000000000E+000	 1.080399932861E+002	 4.225600280762E+002	 3.611453628540E+001	-3.803863906860E+001	-1.412679290771E+002	 8.713940429688E+002	 1.401870727539E+003	 2.796405851841E-001	 9.806475067139E+001	-2.304418212891E+003	 1.212096191406E+003	 3.489535522461E+001	 2.229353666306E+000	-3.375859619141E+003	 1.585180206299E+002	-1.115501586914E+003	 7.498093261719E+002	 3.135961532593E+001	 5.003220558167E+000	-6.783279785156E+003	-2.230413513184E+002	 1.557679443359E+003	 7.498109741211E+002	 2.410068064928E-001	 0.000000000000E+000	 0.000000000000E+000
